Question number;Category;Subcategory;Number;Question;Option A;Option B;Option C;Correct answer;poznámky
408;Prav;pra;6050591;Hry dětí na pozemní komunikaci:;Jsou dovoleny pouze v obytné zóně.;Jsou dovoleny v obytné a pěší zóně.;Jsou zakázány.;a;
409;Prav;pra;6050592;V obytné zóně řidič:;Nesmí stát jinde než na místech označených jako parkoviště, zastavit ale může i mimo parkoviště.;Nesmí zastavit a stát jinde než na místech označených jako parkoviště.;Nesmí mimo parkoviště ani zastavit vozidlo.;a;
410;Prav;pra;6050593;V obytné zóně:;Smějí chodci užívat pozemní komunikaci v celé její šířce.;Mohou chodci užít k chůzi pouze chodníku, a kde chodník není, užijí levou krajnici či levý okraj vozovky.;Mohou chodci užít k chůzi pouze chodníku, a kde chodník není, mohou užít pozemní komunikaci v celé šířce.;a;
411;Prav;pra;6050594;V pěší zóně:;Smějí chodci užívat pozemní komunikaci v celé její šířce.;Mohou chodci užít k chůzi pouze chodníku, a kde chodník není, užijí levou krajnici či levý okraj vozovky.;Mohou chodci užít k chůzi pouze chodníku, a kde chodník není, mohou užít pozemní komunikaci v celé šířce.;a;
412;Prav;pra;6050597;V obytné zóně smí řidič jet rychlostí:;Nejvýše 50 km/h.;Nejvýše 20 km/h.;Nejvýše 30 km/h.;b;
413;Prav;pra;6050599;Chodci v pěší zóně:;Musí umožnit jízdu všem vozidlům.;Musí umožnit jízdu pouze vozidlům s právem přednostní jízdy.;Nemusí při užívání pěší zóny brát ohled na pohyb vozidel.;a;
716;Souv;pru;6050601;Řidičský průkaz:;Nesmí být ponecháván a přijímán jako zástava a odebírán při vstupu do objektů nebo na pozemky.;Smí být ponecháván a přijímán jako zástava, ale nesmí být odebírán při vstupu do objektů nebo na pozemky.;Smí být odebírán při vstupu do objektů nebo na pozemky, ale nesmí být ponecháván ani přijímán jako zástava.;a;
414;Prav;pra;6050602;Chodci v obytné zóně:;Musí umožnit jízdu všem vozidlům.;Musí umožnit jízdu pouze vozidlům s právem přednostní jízdy.;Nemusí při užívání obytné zóny brát ohled na pohyb vozidel.;a;
415;Prav;pra;6050603;Při jízdě v obytné zóně:;Musí řidič dbát zvýšené ohleduplnosti vůči chodcům, které nesmí ohrozit, a v případě nutnosti musí zastavit vozidlo.;Musí řidič dbát zvýšené ohleduplnosti vůči chodcům, které nesmí ohrozit ani omezit.;Platí pro řidiče ve vztahu k chodcům stejná ustanovení jako na kterékoli jiné pozemní komunikaci.;a;
416;Prav;pra;6050604;Při jízdě v pěší zóně:;Musí řidič dbát zvýšené ohleduplnosti vůči chodcům, které nesmí ohrozit, a v případě nutnosti musí zastavit vozidlo.;Musí řidič dbát zvýšené ohleduplnosti vůči chodcům, které nesmí ohrozit ani omezit.;Platí pro řidiče ve vztahu k chodcům stejná ustanovení jako na kterékoli jiné pozemní komunikaci.;a;
75;Bez;rid;6050605;Při dvojnásobném zvýšení rychlosti působí na řidiče i motocykl v zatáčce:;Přibližně dvojnásobná odstředivá síla.;Přibližně čtyřnásobná odstředivá síla.;Odstředivá síla, která se nemění.;b;
418;Prav;pra;6050621;Nemohou-li se řidiči protijedoucích vozidel bezpečně vyhnout v situaci, kdy k bezpečnému vyhnutí není nutné, aby musel jeden z řidičů couvat:;Musí dát přednost v jízdě ten, na jehož straně jízdy je překážka nebo zúžená vozovka.;Musí dát přednost v jízdě ten, na jehož straně jízdy není překážka nebo zúžená vozovka.;Musí dát přednost v jízdě ten, pro něhož je to snazší nebo méně nebezpečné.;a;
419;Prav;pra;6050622;Nemohou-li se řidiči protijedoucích vozidel bezpečně vyhnout v situaci, kdy je k bezpečnému vyhnutí nutné, aby jeden z řidičů couval:;Učiní tak ten, na jehož straně jízdy je překážka nebo zúžená vozovka.;Učiní tak ten, na jehož straně jízdy není překážka nebo zúžená vozovka.;Učiní tak ten, pro něhož je to snazší nebo méně nebezpečné.;c;
830;Voz;stk;6050628;Provozovatel motocyklu přistaví tento motocykl k technické prohlídce nejpozději:;Ve lhůtě 6 let po jeho prvním zaregistrování a potom pravidelně ve lhůtách 4 let.;Ve lhůtě 4 let po jeho prvním zaregistrování a potom pravidelně ve lhůtách 2 let.;Ve lhůtě 2 let po jeho prvním zaregistrování a potom pravidelně ve lhůtách 2 let.;a;
785;Voz;nak;6050631;Na co je třeba dbát při nakládání sypkého materiálu?;Sypký materiál by měl být naložen pokud možno co nejdále dozadu, aby se zvýšilo zatížení zadní poháněné nápravy.;Zatížení nákladové plochy musí být rovnoměrné.;Náklad je třeba umístit jen do středu ložné plochy.;b;
354;Prav;neh;6050636;Dojde-li při jízdě vozidla v tunelu k poruše vozidla, pro kterou se toto vozidlo stalo nepojízdným:;Je řidič porouchaného vozidla podle okolností oprávněn zastavovat jiná vozidla.;Jsou řidič a přepravované osoby z porouchaného vozidla povinni neprodleně opustit tunel.;Je řidič porouchaného vozidla povinen neprodleně odstranit závadu, která mu brání v další jízdě.;a;
355;Prav;neh;6050637;Dojde-li při jízdě vozidla v tunelu k poruše vozidla, pro kterou se toto vozidlo stalo nepojízdným:;Řidič ani přepravovaná osoba nesmí kouřit ani zacházet s otevřeným ohněm. Nezávislé topení nepojízdného vozidla musí v tunelu být vypnuto.;Řidič vozidla neoznačuje vozidlo jako překážku v provozu na pozemních komunikacích.;Řidič vozidla a přepravované osoby mohou zůstat ve vozidle, pokud neprodleně oznámili zastavení vozidla policii nebo osobě vykonávající dohled nad provozem tunelu.;a;
221;Def;poj;6050638;Za křižovatku se nepovažuje:;Vyústění polní nebo lesní cesty nebo jiné účelové pozemní komunikace na jinou pozemní komunikaci.;Místo, kde se protínají nebo spojují dvě polní cesty nebo dvě lesní cesty.;Místo, kde se protínají nebo spojují dvě účelové pozemní komunikace.;a;
717;Souv;pru;6060011;Příslušný obecní úřad obce s rozšířenou působností vydá držiteli řidičského oprávnění bezodkladně po ohlášení poškození řidičského průkazu:;Potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu.;Mezinárodní řidičský průkaz.;Duplikát řidičského průkazu.;a;
718;Souv;pru;6060012;Řidičský průkaz je neplatný, jestliže:;Uplynula doba jeho platnosti.;Byl jeho držiteli vystaven mezinárodní řidičský průkaz.;Byl řidiči pro porušení zákona zadržen policistou.;a;
184;Def;aut;6060015;Historické vozidlo:;Nelze provozovat na pozemních komunikacích za účelem podnikání a běžného denního užívání pro vlastní potřeby.;Nesmí být bez povolení Policie ČR provozováno na pozemních komunikacích.;Lze na pozemních komunikacích provozovat bez jakéhokoli omezení.;a;
719;Souv;pru;6060016;Mezinárodní řidičský průkaz:;Vydá držiteli řidičského oprávnění příslušný obecní úřad obce s rozšířenou působností na základě jeho žádosti.;Vydá obecní úřad obce s rozšířenou působností vždy společně s řidičským průkazem.;Vydá příslušný útvar dopravní policie vždy společně s řidičským průkazem.;a;
720;Souv;pru;6060017;Mezinárodní řidičský průkaz vydaný Českou republikou:;Neopravňuje k řízení motorových vozidel na území České republiky.;Opravňuje k řízení motorových vozidel na území České republiky pouze v případě, že držitel nahlásil odcizení, zničení nebo ztrátu svého řidičského průkazu a doposud mu nebyl vydán nový.;Opravňuje k řízení motorových vozidel na území České republiky.;a;
721;Souv;pru;6060019;Potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu:;Platí 30 dní ode dne jeho vydání a po tuto dobu nahrazuje držiteli řidičského oprávnění řidičský průkaz.;Platí 60 dní ode dne jeho vydání a po tuto dobu nahrazuje držiteli řidičského oprávnění řidičský průkaz.;Platí 90 dní ode dne jeho vydání a po tuto dobu nahrazuje držiteli řidičského oprávnění řidičský průkaz.;a;
722;Souv;pru;6060020;Zničení řidičského průkazu je držitel řidičského oprávnění povinen:;Neprodleně ohlásit příslušnému obecnímu úřadu obce s rozšířenou působností.;Neprodleně ohlásit příslušnému útvaru dopravní policie.;Neprodleně ohlásit příslušnému útvaru obecní policie.;a;
723;Souv;pru;6060021;Potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu:;Platí pouze na území České republiky.;Platí na území České republiky a ostatních členských států Evropských společenství.;Platí ve všech státech, ve kterých je uznáván český řidičský průkaz.;a;
724;Souv;pru;6060022;Příslušný obecní úřad obce s rozšířenou působností vydá držiteli řidičského oprávnění bezodkladně po ohlášení zničení řidičského průkazu:;Potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu.;Mezinárodní řidičský průkaz.;Duplikát řidičského průkazu.;a;
725;Souv;pru;6060023;Poškození řidičského průkazu je držitel řidičského oprávnění povinen:;Neprodleně ohlásit příslušnému obecnímu úřadu obce s rozšířenou působností.;Neprodleně ohlásit příslušnému útvaru dopravní policie.;Neprodleně ohlásit příslušnému útvaru obecní policie.;a;
726;Souv;pru;6060024;Příslušný obecní úřad obce s rozšířenou působností vydá držiteli řidičského oprávnění bezodkladně po ohlášení ztráty řidičského průkazu:;Potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu.;Mezinárodní řidičský průkaz.;Duplikát řidičského průkazu.;a;
727;Souv;pru;6060025;Příslušný obecní úřad obce s rozšířenou působností vydá držiteli řidičského oprávnění bezodkladně po ohlášení odcizení řidičského průkazu:;Potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu.;Mezinárodní řidičský průkaz.;Duplikát řidičského průkazu.;a;
728;Souv;pru;6060026;Řidičský průkaz je neplatný, jestliže:;Jsou v něm neoprávněně provedeny zápisy, změny, opravy nebo úpravy.;Byl řidiči pro porušení zákona zadržen policistou nebo obecním úřadem obce s rozšířenou působností.;Je jeho držitel ve výkonu trestu odnětí svobody.;a;
729;Souv;pru;6060027;Řidičský průkaz je neplatný, jestliže:;Je poškozený tak, že záznamy v něm uvedené jsou nečitelné.;Je jakýmkoli způsobem poškozený (např. odřený či zprohýbaný).;Byl jeho oprávněným držitelem, byť i jen dočasně, předán jiné osobě.;a;
730;Souv;pru;6060028;Řidičský průkaz je neplatný, jestliže:;Údaje o řidičském oprávnění v něm uvedené neodpovídají skutečnosti.;Kterýkoli z údajů v něm zapsaných neodpovídá skutečnosti.;V něm není uveden údaj o nejbližším termínu pravidelné lékařské prohlídky.;a;
731;Souv;pru;6060029;Evidence údajů o řidičích je vedena v registru řidičů, jehož správcem je:;Obecní úřad obce s rozšířenou působností.;Policejní prezidium České republiky.;Ministerstvo vnitra.;a;
732;Souv;pru;6060030;Údaje z registru řidičů lze poskytnout:;Fyzickým osobám, pokud jde o údaje o nich vedené.;Všem fyzickým i právnickým osobám, které o to požádají, a to v rozsahu jejich žádosti.;Všem držitelům řidičského oprávnění, kteří o to požádají, a to v rozsahu jejich žádosti.;a;
733;Souv;pru;6060031;Po dobu zadržení řidičského průkazu:;Držitel řidičského oprávnění nesmí řídit motorové vozidlo.;Držitel řidičského oprávnění smí řídit motorová vozidla jen s písemným svolením příslušného útvaru dopravní policie.;Držitel řidičského oprávnění smí řídit motorová vozidla s platným mezinárodním řidičským průkazem.;a;
734;Souv;pru;6060032;Odcizení řidičského průkazu je držitel řidičského oprávnění povinen:;Neprodleně ohlásit příslušnému obecnímu úřadu obce s rozšířenou působností.;Neprodleně ohlásit příslušnému útvaru dopravní policie.;Neprodleně ohlásit příslušnému útvaru obecní policie.;a;
735;Souv;pru;6060034;Ztrátu řidičského průkazu je držitel řidičského oprávnění povinen:;Neprodleně ohlásit příslušnému obecnímu úřadu obce s rozšířenou působností.;Neprodleně ohlásit příslušnému útvaru dopravní policie.;Neprodleně ohlásit příslušnému útvaru obecní policie.;a;
736;Souv;pru;6060035;Změna údajů, které jsou zaznamenávány v řidičském průkazu, se příslušnému obecnímu úřadu obce s rozšířenou působností oznamuje nejpozději:;Do pěti pracovních dnů ode dne, kdy ke změně došlo.;Do patnácti pracovních dnů ode dne, kdy ke změně došlo.;Do dvaceti pracovních dnů ode dne, kdy ke změně došlo.;a;
737;Souv;pru;6060036;Změnu údajů, které jsou zaznamenávány v řidičském průkazu, je držitel řidičského průkazu povinen oznámit:;Do pěti pracovních dnů ode dne, kdy ke změně došlo, příslušnému obecnímu úřadu obce s rozšířenou působností.;Do pěti pracovních dnů ode dne, kdy ke změně došlo, příslušnému útvaru dopravní policie.;Do patnácti pracovních dnů ode dne, kdy ke změně došlo, příslušnému útvaru dopravní policie.;a;
738;Souv;pru;6060037;Změnu příjmení musí držitel řidičského průkazu oznámit příslušnému obecnímu úřadu obce s rozšířenou působností nejpozději:;Do pěti pracovních dnů ode dne, kdy ke změně došlo.;Do patnácti pracovních dnů ode dne, kdy ke změně došlo.;Do dvaceti pracovních dnů ode dne, kdy ke změně došlo.;a;
739;Souv;pru;6060039;Změnu příjmení musí držitel řidičského průkazu nejpozději do pěti pracovních dnů ode dne, kdy ke změně došlo, oznámit:;Příslušnému obecnímu úřadu obce s rozšířenou působností.;Příslušnému útvaru dopravní policie.;Příslušnému útvaru obecní policie.;a;
740;Souv;pru;6060040;Změnu údajů, které jsou zaznamenávány v řidičském průkazu, je držitel řidičského průkazu povinen oznámit:;Do pěti pracovních dnů ode dne, kdy ke změně došlo, příslušnému obecnímu úřadu obce s rozšířenou působností.;Do pěti pracovních dnů ode dne, kdy ke změně došlo, příslušnému útvaru dopravní policie.;Do patnácti pracovních dnů ode dne, kdy ke změně došlo, příslušnému obecnímu úřadu obce s rozšířenou působností.;a;
741;Souv;pru;6060041;Držitel řidičského oprávnění nesmí mít:;Více než jeden platný řidičský průkaz.;Více než dva platné řidičské průkazy.;Žádný řidičský průkaz, pokud mu byl vystaven mezinárodní řidičský průkaz.;a;
742;Souv;pru;6060042;Držitel mezinárodního řidičského průkazu:;Nesmí v mezinárodním řidičském průkazu provádět žádné zápisy, změny, opravy nebo úpravy.;Smí v mezinárodním řidičském průkazu provádět pouze opravy údajů, u nichž je zřejmé, že jsou vyplněny chybně.;Smí v mezinárodním řidičském průkazu provádět jen nezbytné změny a opravy, pokud jejich provedení následující pracovní den nahlásí příslušnému obecnímu úřadu obce s rozšířenou působností.;a;
743;Souv;pru;6060043;Držitel řidičského průkazu:;Nesmí v řidičském průkazu provádět žádné zápisy, změny, opravy nebo úpravy.;Smí v řidičském průkazu provádět pouze opravy údajů, u nichž je zřejmé, že jsou vyplněny chybně.;Smí v řidičském průkazu provádět jen nezbytné změny a opravy, pokud jejich provedení následující pracovní den nahlásí příslušnému obecnímu úřadu obce s rozšířenou působností.;a;
744;Souv;pru;6060044;Ztrátu, odcizení, poškození nebo zničení řidičského průkazu je držitel řidičského oprávnění povinen:;Neprodleně ohlásit příslušnému obecnímu úřadu obce s rozšířenou působností.;Neprodleně ohlásit příslušnému útvaru dopravní policie.;Neprodleně ohlásit příslušnému útvaru obecní policie.;a;
356;Prav;neh;6060061;Řidič motorového vozidla, který je povinen užít přenosného výstražného trojúhelníku, jej musí umístit:;Na krajnici vozovky ve vzdálenosti nejméně 80 m, na dálnici a silnici I. třídy nejméně 130 m za vozidlem.;"Na okraj vozovky tak, aby byl pro přijíždějící řidiče včas a zřetelně viditelný, a to ve vzdálenosti nejméně 50 m, na dálnici nejméně 100 m za vozidlem; v obci může být tato vzdálenost, vyžadují-li to okolnosti, kratší.";V libovolné vzdálenosti na okraj vozovky tak, aby byl pro přijíždějící řidiče včas a zřetelně viditelný.;b;
505;Prav;sme;6060067;Dojde-li během jízdy na dálnici na vozidle nebo nákladu k závadě, pro kterou nelze dosáhnout na rovině rychlosti nejméně 80 km/h, musí řidič:;Opustit dálnici na nejbližším výjezdu.;Vozidlo okamžitě odstavit na krajnici a označit jako překážku provozu.;Přejet do jízdního pruhu pro pomalá vozidla a v něm pokračovat v jízdě.;a;
506;Prav;sme;6060069;Během jízdy na dálnici mimo obec se ukázalo, že s Vaším vozidlem ve stoupání nelze dosáhnout rychlosti nejméně 80 km/h (např. pro nedostatečný výkon motoru nebo pro hmotnost přepravovaného nákladu). Můžete pokračovat v jízdě po dálnici?;Ano. Důležité je, že vozidlo může dosáhnout této rychlosti na rovině.;Ne. Dálnici musíte opustit na nejbližším výjezdu.;Ne. Vozidlo musíte odstavit na krajnici a označit jako překážku provozu.;a;
507;Prav;sme;6060070;Během jízdy na silnici pro motorová vozidla mimo obec se ukázalo, že Vaše vozidlo ve stoupání nedosahuje rychlosti nejméně 80 km/h (např. pro nedostatečný výkon motoru nebo pro hmotnost přepravovaného nákladu). Můžete pokračovat v jízdě po této silnici?;Ano. Důležité je, že vozidlo může dosáhnout této rychlosti na rovině.;Ne. Silnici pro motorová vozidla musíte opustit na nejbližším výjezdu.;Ne. Vozidlo musíte odstavit na krajnici a označit jako překážku provozu.;a;
240;Def;uca;6060071;Po pozemní komunikaci jde osoba, která vede psa. Vztahují se na ni povinnosti průvodce vedených zvířat?;Ne.;Ano.;;a;
222;Def;poj;6060072;Zastavit znamená:;Uvést vozidlo do klidu na dobu nezbytně nutnou k neprodlenému nastoupení nebo vystoupení přepravovaných osob anebo k neprodlenému naložení nebo složení nákladu.;Povinnost řidiče nezahájit jízdní úkon nebo v něm nepokračovat, jestliže by řidič, který má přednost v jízdě, musel náhle změnit směr nebo rychlost jízdy.;Přerušit jízdu z důvodu nezávislého na vůli řidiče, například při poruše vozidla.;a;
390;Prav;pol;6060074;Patří k povinnostem účastníka provozu na pozemních komunikacích řídit se pokyny strážníků obecní policie?;Ano. ;Ne.;;a;
76;Bez;rid;6060075;Během jízdy může kouřit:;Řidič osobního motorového vozidla.;Řidič motocyklu a mopedu.;Řidič vozidla hromadné dopravy osob.;a;
707;Souv;pro;6060076;Provozovatel silničního motorového vozidla nesmí provozovat na pozemních komunikacích vozidlo:;Které je technicky nezpůsobilé k provozu.;Které spotřebou pohonných hmot přesahuje limity stanovené výrobcem vozidla.;K jehož pohonu má být podle návodu k použití užit pouze bezolovnatý benzín.;a;
185;Def;aut;6060079;Vozidlo hromadné dopravy osob je:;Autobus, trolejbus nebo tramvaj.;Motorové vozidlo s nejméně osmi místy pro cestující.;Vozidlo taxislužby.;a;
391;Prav;pol;6060080;Patří vojenský policista mezi osoby, které jsou oprávněny k řízení provozu na pozemních komunikacích?;Ano.;Ne.;;a;
508;Prav;sme;6060082;Řidič na pozemní komunikaci s jednosměrným provozem:;Smí couvat, jestliže je to nezbytně nutné, například k zajetí do řady stojících vozidel nebo vyjetí z ní.;Nesmí couvat, i když je to nezbytně nutné, například k zajetí do řady stojících vozidel nebo vyjetí z ní.;Smí couvat, jestliže je tato pozemní komunikace široká nejméně 6 metrů.;a;
509;Prav;sme;6060083;Řidič motorového vozidla:;Se nesmí otáčet na místech nepřehledných nebo jinak nebezpečných, např. v nepřehledné zatáčce a její blízkosti nebo před nepřehledným vrcholem stoupání pozemní komunikace, na něm a za ním.;Se může otáčet na přechodu pro chodce nebo na přejezdu pro cyklisty nebo v jejich těsné blízkosti, pokud tím neohrozí bezpečnost ostatních účastníků silničního provozu.;Se může otáčet v těsné blízkosti železničního přejezdu, pokud je železniční zabezpečovací zařízení funkční.;a;
510;Prav;sme;6060084;Přejíždět z jednoho jízdního pruhu do druhého smí řidič jen tehdy:;"Neomezí-li řidiče jedoucího v jízdním pruhu, do kterého přejíždí; znamení o změně směru nedává.";"Neohrozí-li řidiče jedoucího v jízdním pruhu, do kterého přejíždí; znamení o změně směru nedává.";"Neohrozí-li a neomezí-li řidiče jedoucího v jízdním pruhu, do kterého přejíždí; přitom musí dávat znamení o změně směru jízdy.";c;
849;Voz;sve;6060086;Zjistíme-li závady na brzdovém systému, které zjevně znemožňují účinně zastavit vozidlo a tím ohrožují bezpečnost provozu na pozemních komunikacích:;Vozidlo lze provozovat na pozemních komunikacích na základě jednorázového povolení policie.;S vozidlem lze přiměřenou rychlostí dojet jen do nejbližšího místa, kde lze závadu odstranit.;Vozidlo nesmí být užito k provozu na pozemních komunikacích, smí však být vlečeno na tyči.;c;
831;Voz;stk;6060087;Lhůta pro přistavení silničního vozidla k pravidelné technické prohlídce se počítá ode dne:;Prvního zaregistrování silničního vozidla a potom vždy ode dne provedení pravidelné technické prohlídky.;Prodeje silničního vozidla a potom vždy ode dne úspěšného provedení pravidelné technické prohlídky.;Vyrobení silničního vozidla a potom vždy v pravidelných pětiletých lhůtách.;a;
832;Voz;stk;6060088;Vozidlo je technicky nezpůsobilé k provozu na pozemních komunikacích, pokud:;Pro závady v technickém stavu bezprostředně ohrožuje bezpečnost provozu na pozemních komunikacích.;Do termínu příští pravidelné technické prohlídky zbývá méně než tři kalendářní měsíce.;Spotřeba pohonných hmot přesahuje limity stanovené výrobcem vozidla.;a;
692;Souv;mir;6060091;Nebrzděný přívěs, jehož přípustná hmotnost nepřevyšuje 750 kg a který nebyl dříve registrován v zahraničí, přistaví jeho provozovatel k technické prohlídce nejpozději ve lhůtě:;2 let po zaregistrování tohoto přívěsu a potom pravidelně nejpozději ve lhůtách 2 let.;6 let po zaregistrování tohoto přívěsu a potom pravidelně nejpozději ve lhůtách 4 let.;4 let po zaregistrování tohoto přívěsu a potom pravidelně nejpozději ve lhůtách 4 let.;b;
850;Voz;sve;6060094;K pohonu motorů vozidel se smí používat:;Pouze pohonné hmoty předepsané výrobcem těchto motorů.;Pohonné hmoty nesplňující požadavky na jakost, umožní-li spolehlivý provoz těchto motorů.;Pouze pohonné hmoty předepsané výrobcem těchto motorů nebo pohonné hmoty s nižším oktanovým číslem.;a;
851;Voz;sve;6060096;Kdy smíte při jízdě s motorovým vozidlem, které je vybaveno světly pro denní svícení, těmito světly svítit?;Pouze při nesnížené viditelnosti, a to bez současného použití obrysových světel.;Při nesnížené viditelnosti samostatně a při současném použití obrysových světel i při snížené viditelnosti.;Pouze v době od 6.00 hodin do 20.00 hodin a jen při současném použití obrysových světel.;a;
336;Prav;mhd;6060097;Podél tramvaje se jezdí:;Vpravo i vlevo, pokud je tramvajový pás ve stejné úrovni s vozovkou.;"Vpravo; vlevo smí řidič jet v případě, stojí-li tramvaj v zastávce.";"Vpravo, pokud není dopravní značkou ""Objíždění tramvaje"" povolena jízda vlevo.";c;
337;Prav;mhd;6060099;Tramvaj zastavila v zastávce bez nástupního ostrůvku. Řidič jiného vozidla jedoucího za touto tramvají musí:;Zastavit vozidlo. Pokračovat v jízdě smí teprve tehdy, neohrozí-li již cestující, kteří nastupují nebo vystupují.;Zastavit vozidlo na dobu, než tramvaj odjede z prostoru zastávky.;"Tramvaj se zvýšenou opatrností objet vlevo; přitom musí svou jízdu přizpůsobit zejména možnosti vstoupení chodců do vozovky.";a;
512;Prav;sme;6060101;Řidič, který se po předjetí zařazuje před vozidlo, které předjel:;Může omezit řidiče vozidla, které předjel, a musí dávat znamení o změně směru jízdy.;Musí dávat znamení o změně směru jízdy a nesmí ohrozit ani omezit řidiče vozidla, které předjel.;Nemusí dávat znamení o změně směru jízdy, pokud neomezí řidiče vozidla, které předjel.;b;
420;Prav;pra;6060102;Řidič motorového vozidla o maximální přípustné hmotnosti převyšující 3 500 kg, s výjimkou autobusu, smí jet mimo obec rychlostí nejvýše:;90 km.h-1.;80 km.h-1.;70 km.h-1.;b;
421;Prav;pra;6060103;"Pokud není dopravní značkou ""Nejvyšší dovolená rychlost"" dovolena rychlost vyšší, smí jet řidič v obci rychlostí nejvýše:";50 km.h-1.;60 km.h-1.;70 km.h-1.;a;
422;Prav;pra;6060104;Při použití sněhových řetězů na vozidle smí jet řidič:;Rychlostí nejvýše 30 km.h-1.;Rychlostí nejvýše 80 km.h-1.;Rychlostí nejvýše 50 km.h-1;c;
513;Prav;sme;6060107;Řidiči protijedoucích vozidel se vyhýbají:;Vlevo, včas a v dostatečné míře.;Vpravo, při zachování minimálního bočního odstupu 1 m.;Vpravo, včas a v dostatečné míře.;c;
258;Def;vec;6060108;Ustanovení o provozu na dálnici platí:;Jen pro dálnice.;Pro dálnici a silnici pro motorová vozidla.;Pro všechny pozemní komunikace, s výjimkou místních komunikací.;b;
476;Prav;riz;6060109;Vjíždět na dálnici a vyjíždět z dálnice smí řidič:;Potahového vozidla nebo nemotorového vozidla pouze u parkoviště.;Rychlostí vozidla nepřesahující 50 km.h-1.;Jen na místech k tomu určených.;c;
514;Prav;sme;6060111;Na křižovatce, kde není dopravními značkami rozlišena přednost v jízdě, řidič musí dát přednost v jízdě:;Motorovým vozidlům nebo jezdcům na zvířatech přijíždějícím zprava, tramvajím v obou směrech a chodcům přicházejícím zprava.;Vozidlům nebo jezdcům na zvířatech přijíždějícím zleva nebo organizované skupině chodců nebo průvodcům hnaných zvířat se zvířaty přicházejícím zleva.;Vozidlům nebo jezdcům na zvířatech přijíždějícím zprava nebo organizované skupině chodců nebo průvodcům hnaných zvířat se zvířaty přicházejícím zprava.;c;
515;Prav;sme;6060113;Řidič nesmí vjet do křižovatky, nedovoluje-li mu situace pokračovat v jízdě v křižovatce a za křižovatkou, takže by byl nucen zastavit vozidlo v křižovatce. To neplatí:;Pokud důvodem zastavení vozidla je, že řidič hodlá v této křižovatce couvat.;Pokud důvodem zastavení vozidla je plnění povinnosti umožnit chodci nerušené a bezpečné přejití vozovky na přechodu pro chodce nebo povinnost dát přednost v jízdě při odbočování vlevo.;Pokud řidič musel zastavit vozidlo v křižovatce vzhledem k dopravní situaci, zejména kvůli hustému provozu.;b;
516;Prav;sme;6060114;Řidič nesmí vjet do křižovatky, nedovoluje-li mu situace pokračovat v jízdě v křižovatce a za křižovatkou, takže by byl nucen zastavit vozidlo v křižovatce. To neplatí:;Pokud důvodem zastavení vozidla je, že řidič hodlá v této křižovatce nebo v její bezprostřední blízkosti couvat.;Pokud důvodem zastavení vozidla je plnění povinnosti umožnit chodci nerušené a bezpečné přejití vozovky na přechodu pro chodce nebo povinnost dát přednost v jízdě při odbočování vlevo.;Pokud řidič musel zastavit vozidlo proto, že kvůli hustému provozu zastavila i vozidla jedoucí před ním.;b;
517;Prav;sme;6060116;Zajíždí-li řidič za účelem zastavení nebo stání k okraji pozemní komunikace nebo k chodníku:;Nemusí dávat znamení o změně směru jízdy.;Nemusí dávat znamení o změně směru jízdy, pokud neohrozí nebo neomezí vozidla jedoucí za ním.;Musí dávat znamení o změně směru jízdy.;c;
579;Prav;sta;6060117;Nastupovat do vozidla nebo vystupovat z něj se smí jen tehdy:;Zastaví-li vozidlo v obci na místě k tomu určeném, například na parkovišti.;Není-li tím ohrožena bezpečnost nastupujících nebo vystupujících osob bez ohledu na ostatní účastníky provozu na pozemních komunikacích.;Není-li tím ohrožena bezpečnost nastupujících nebo vystupujících osob ani jiných účastníků provozu na pozemních komunikacích.;c;
423;Prav;pra;6060118;Je-li dávána výstraha přerušovaným zvukem houkačky nebo zvonku přejezdového zabezpečovacího zařízení, znamená to, že řidič:;Může přejezd bezpečně přejet.;Musí při přejíždění přejezdu dbát zvýšené opatrnosti.;Nesmí vjíždět na železniční přejezd.;c;
424;Prav;pra;6060119;Vozidla se před železničním přejezdem řadí:;Náhodně.;Za sebou v pořadí, ve kterém přijela.;Tak, aby všichni řidiči měli náležitý výhled na železniční přejezd.;b;
425;Prav;pra;6060120;Při přejíždění železničního přejezdu nesmí řidič:;Náhle snížit rychlost jízdy.;Zbytečně prodlužovat dobu jeho přejíždění.;Dávat zvuková výstražná znamení.;b;
426;Prav;pra;6060121;Je-li dávána výstraha dvěma červenými střídavě přerušovanými světly signálu přejezdového zabezpečovacího zařízení, znamená to, že řidič:;Nesmí vjíždět na železniční přejezd.;Smí vjíždět na železniční přejezd.;Musí zapnout výstražné světelné zařízení.;a;
427;Prav;pra;6060122;Svítí-li přerušované bílé světlo signálu přejezdového zabezpečovacího zařízení, smí 50 m před železničním přejezdem a při jeho přejíždění jet řidič rychlostí:;Nejvýše 30 km.h-1.;Nejvýše 40 km.h-1.;ejvýše 50 km.h-1.;c;
